Proj_Contact_Name,ORCID,ORCID_Exist,affiliation,alias
"Aaltonen, Veijo",,N,,
Aart Kroon,,N,,
"Aas, Wenche",,N,,
"Abboud, Ihab",,N,,
"Abramov, Andrey",,N,,
"Aggarwal, Srijan",,N,,
"Alan, Barr",,N,,
Alaska Science Support Manager,,N,,
"Albert, Mary",,N,,
"Alessa, Lilian",,N,,
"Alexeev, Sergey",,N,,
"Alexeev, Vladimir",,N,,
"Ali, Saleem",,N,,
"Alkire, Matthew",https://orcid.org/0000-0001-7324-3159,Y,,
"Allard, Michel",,N,,
"Amiro, Brian",,N,,
"Anderson, James",,N,,
"Andrew, Black",,N,,
"Andrew, M.",,N,,
"Ansko, Ilmar",,N,,
"Ansmann, Albert",,N,,
"Apituley, Arnoud",,N,,
"Armanios, Daniel",,N,,
"Arnold, Emily",,N,,
"Arp, Christopher",https://orcid.org/0000-0002-6485-6225,Y,,
"Ashjian, Carin",,N,,
Ashlee Cunsolo ,,N,,
"Aurela, Mika",,N,,
"Bailey, David",,N,,
"Bales, Roger",,N,,
"Bates, Timothy",https://orcid.org/0000-0003-1894-8791,Y,,
"Becker, Ralf",,N,,
"Begin, Yves",,N,,
"Belelli, Luca",,N,,
"Bell, Robin",,N,,
"Bennartz, Ralf",,N,,
"Berchok, Catherine",,N,,
"Berg, Paal",,N,,
"Berman, Matthew",,N,,
"Bernhard, Germar",,N,,
"Bernhofer, Christian",,N,,
"Bevis, Michael",,N,,
"Biasi, Christina",,N,,
"Birkland, Thomas",,N,,
"Bjella, Kevin",,N,,
"Blarel, Luc",,N,,
"Boelman, Natalie",,N,,
"Bohn, Birger",,N,,
"Boike, Julia",,N,,
"Bourgeau-Chavez, Laura",,N,,
"Bowden, Breck (William)",,N,,
"Braathen, Alvar",,N,,
"Brenkert-Smith, Hannah",,N,,
"Bret-Harte, Syndonia",,N,,
"Brigham, Lawson",,N,,
"Brigham-Grette, Julie",,N,,
"Brinkman, Todd",,N,,
"Brower, Walter",,N,,
"BurnSilver, Shauna",,N,,
"Buschmann, Matthias",,N,,
"Buxmann, Joelle",,N,,
"Cachorro Revilla, Victoria",,N,,
"Cahill, Thomas",,N,,
"Caline, Fabrice",,N,,
"Camill, Philip",,N,,
"Camilli, Richard",,N,,
"Campbell, David",,N,,
"Campbell, Robert",,N,,
"Carey, Mark",,N,,
"Carlund, Thomas",,N,,
"Carolina, Vincke",,N,,
"Carroll, Mark",,N,,
"Cetin, Kristen",,N,,
"Chaikovsky, Anatoli",,N,,
"Charette, Matthew",,N,,
"Chavez, Francisco",,N,,
"Chi, Guangqing",,N,,
"Cho, Kyoung-Ho",,N,,
"Chris Burn, chris",,N,,
"Christensen, Torben",,N,,
Christian Körner,,N,,
"Christiansen, Hanne",,N,,
"Christine, Moureaux",,N,,
Christopher Andrews,,N,,
"Chubarova, Natalia",,N,,
"Ciannelli, Lorenzo",,N,,
"Clow, Gary",,N,,
"Collier, Robert",,N,,
"Collins, Richard",,N,,
"Colt, Stephen",,N,,
"Cordes, Wolfgang",,N,,
"Corona, Angel",,N,,
"Cox, Christopher",,N,,
"Crane, Kathy",,N,,
"Csavina, Janae",,N,,
"Culler, Lauren",,N,,
"Cunningham, Fraser",,N,,
"Danielson, Seth",https://orcid.org/0000-0002-9191-4363,Y,,
"Danylevsky, Vassyl",,N,,
"de Boer, Gijs",,N,,
"DeCarlo, Peter",,N,,
"Degai, Tatiana",,N,,
"DeGrandpre, Michael",https://orcid.org/0000-0003-1969-6709,Y,,
"Dehghanian, Payman",,N,,
"Demeyer, Dave",,N,,
"Dengel, Sigrid",,N,,
"Detrick, Robert",,N,,
"Diamond, Howard",,N,,
"Dirksen, Ruud",,N,,
"Disney, Matthias",,N,,
"Dobosy, Ron",,N,,
"Dolman, Han",,N,,
Dominique Fleury,,N,,
"Don, Axel",,N,,
"Dorokhov, Valery",,N,,
"Douglas, Thomas",,N,,
"Drozdov, Dmitry",,N,,
"Drummond, James",,N,,
"Dunton, Kenneth",,N,,
"Dupont, Jean-Charles",,N,,
Dylan McCart,,N,,
"Dymond, Salli",,N,,
"Eicken, Hajo",,N,,
"Elisabeth, Jérôme",,N,,
Elke Ludewig,,N,,
"Eloranta, Edwin",,N,,
"Emerson, David",,N,,
Environment Canada,,N,,
"Epstein, Howard",,N,,
